step,loss,acc,eos_acc,gnorm,lr,n_tok
1,7.361435890197754,0.0009950249223038554,0.0,512.0,5.999999999999999e-06,2010
2,6.91136360168457,0.045734841376543045,0.0,488.0,1.194e-05,1946
3,6.304339408874512,0.17664821445941925,0.0,424.0,1.7879999999999998e-05,1987
4,5.820502281188965,0.15505804121494293,0.0,304.0,2.382e-05,1206
5,5.149366855621338,0.1794871836900711,0.0,196.0,2.9759999999999996e-05,1404
6,4.87794303894043,0.19283971190452576,0.0,157.0,3.57e-05,1229
7,5.137072563171387,0.1516014188528061,0.0,122.5,4.163999999999999e-05,1405
8,4.934006214141846,0.17848700284957886,0.0,98.5,4.7579999999999995e-05,1692
9,4.532740592956543,0.22995951771736145,0.0,86.5,5.351999999999999e-05,1235
10,5.06171989440918,0.1582181304693222,0.0,83.0,5.945999999999999e-05,1302
11,4.415709972381592,0.21748633682727814,0.0,52.5,6.539999999999999e-05,1830
12,4.606800079345703,0.20221169292926788,0.0,55.0,7.133999999999999e-05,1266
13,4.849708557128906,0.18580375611782074,0.0,94.5,7.727999999999999e-05,479
14,4.388071060180664,0.19429025053977966,0.0,53.75,8.321999999999999e-05,1261
15,3.9751036167144775,0.2571219801902771,0.25,37.0,8.916e-05,1369
16,4.005959987640381,0.25166890025138855,0.0,39.25,9.51e-05,1498
17,4.196625232696533,0.20134228467941284,0.0,42.25,0.00010103999999999998,1341
18,4.684525966644287,0.17464953660964966,0.0,34.5,0.00010697999999999998,1712
19,4.559257507324219,0.19705340266227722,0.0,29.375,0.00011292,1629
20,3.9088780879974365,0.2589552104473114,0.0,26.0,0.00011885999999999998,1340
21,4.026310443878174,0.2344827651977539,0.25,27.5,0.0001248,1305
22,3.764946699142456,0.2681961953639984,0.0,33.25,0.00013073999999999998,1264
23,4.288851737976074,0.2184133231639862,0.0,23.125,0.00013668,2042
24,3.9327914714813232,0.2698412835597992,0.0,18.25,0.00014261999999999999,1575
25,3.4399139881134033,0.3191489279270172,0.0,21.375,0.00014855999999999997,1410
26,3.9008145332336426,0.25833332538604736,0.0,25.875,0.0001545,1200
27,4.348667144775391,0.16830065846443176,0.0,36.75,0.00016043999999999997,1224
28,3.801257610321045,0.28334957361221313,0.0,22.0,0.00016638,2054
29,3.8638932704925537,0.2451612949371338,0.0,19.125,0.00017232,1705
30,3.5807502269744873,0.2715053856372833,0.0,25.125,0.00017826,744
31,3.5735201835632324,0.2814045548439026,0.25,18.25,0.00018419999999999998,2022
32,3.6155076026916504,0.2710413634777069,0.0,17.875,0.00019014,2103
33,3.2502903938293457,0.30625584721565247,0.0,24.0,0.00019607999999999998,1071
34,3.6674818992614746,0.23030757904052734,0.0,22.625,0.00020202,1333
35,3.2114102840423584,0.2832981050014496,0.25,18.375,0.00020795999999999995,1419
36,3.531215190887451,0.24636363983154297,0.25,18.0,0.00021389999999999997,1100
37,3.2664778232574463,0.2944087088108063,0.0,22.75,0.00021983999999999998,2021
38,3.343867540359497,0.280303031206131,0.25,14.5,0.00022578,1188
39,3.2924141883850098,0.2891373932361603,0.0,12.5625,0.00023171999999999998,1252
40,3.047358989715576,0.31392931938171387,0.0,13.875,0.00023765999999999997,1443
41,2.9533703327178955,0.33995887637138367,0.0,12.0,0.00024359999999999999,1459
42,2.8710875511169434,0.37280702590942383,0.5,10.3125,0.00024953999999999997,1824
43,3.1812191009521484,0.2750977873802185,0.0,15.3125,0.00025548,1534
44,2.621211528778076,0.41223403811454773,0.25,13.125,0.00026142,1128
45,3.0098161697387695,0.31854838132858276,0.0,14.375,0.00026736,1488
46,2.6819286346435547,0.39701491594314575,0.5,12.5,0.0002733,2010
47,3.0597047805786133,0.2878667712211609,0.25,15.0,0.00027924,1261
48,2.8384037017822266,0.35805991291999817,0.25,11.5,0.00028517999999999995,2103
49,2.693883180618286,0.39362794160842896,0.25,9.9375,0.00029111999999999996,1946
50,2.6862287521362305,0.3409387171268463,0.0,12.3125,0.00029706,1534
51,2.3578336238861084,0.4862879514694214,0.75,8.9375,0.000303,2042
52,2.4731838703155518,0.43344879150390625,0.5,9.25,0.00030894,2021
53,2.5318195819854736,0.41764017939567566,0.0,8.9375,0.0003148799999999999,1712
54,2.0777347087860107,0.5231671333312988,0.5,11.625,0.0003208199999999999,1705
55,2.530888080596924,0.38999998569488525,0.0,12.0625,0.00032675999999999994,1200
56,2.4009625911712646,0.4215686321258545,0.25,12.0625,0.00033269999999999996,1224
57,2.484158515930176,0.4034302830696106,0.25,10.625,0.00033863999999999997,1341
58,2.5604822635650635,0.38718292117118835,0.75,15.4375,0.00034458,1498
59,2.050292730331421,0.5256830453872681,0.75,9.0625,0.00035052,1830
60,2.3128275871276855,0.43317973613739014,0.5,11.9375,0.00035645999999999996,1302
61,1.9558948278427124,0.5390702486038208,0.5,9.8125,0.00036239999999999997,2022
62,1.9243443012237549,0.5318711400032043,0.75,10.25,0.00036834,1459
63,2.178053855895996,0.46975088119506836,0.5,10.125,0.00037428,1405
64,2.059218406677246,0.4992537200450897,0.75,9.375,0.0003802199999999999,1340
65,1.745804786682129,0.5901898741722107,0.25,8.375,0.0003861599999999999,1264
66,1.8584904670715332,0.5398475527763367,0.75,9.3125,0.00039209999999999994,1443
67,1.9855691194534302,0.4913112223148346,0.75,10.1875,0.00039803999999999995,1266
68,1.9147870540618896,0.5386973023414612,0.75,8.625,0.00040397999999999996,1305
69,2.275484085083008,0.40709617733955383,0.5,15.0,0.0004099199999999999,1071
70,1.8381882905960083,0.591093122959137,0.5,8.25,0.00041586,1235
71,2.2536144256591797,0.42571884393692017,0.25,11.75,0.00042179999999999995,1252
72,1.9412633180618286,0.5414593815803528,0.0,7.9375,0.00042774,1206
73,1.7143350839614868,0.5815602540969849,0.75,7.90625,0.00043368,1128
74,1.7854753732681274,0.5449561476707458,0.25,10.5625,0.00043962,1824
75,1.900922179222107,0.5267770290374756,0.75,9.125,0.00044556,2054
76,1.7788221836090088,0.5198799967765808,0.25,9.375,0.00045149999999999997,1333
77,1.3443127870559692,0.6742424368858337,0.75,7.9375,0.00045743999999999993,1188
78,1.2127989530563354,0.7195032835006714,1.0,7.25,0.00046338,1369
79,1.969153642654419,0.4677419364452362,0.5,10.25,0.00046931999999999996,1488
80,1.962433934211731,0.4615384638309479,1.0,10.0,0.0004752599999999999,1404
81,2.165720224380493,0.46346554160118103,0.25,13.375,0.0004812,479
82,1.6874417066574097,0.5612698197364807,0.75,7.8125,0.00048713999999999995,1575
83,1.630359411239624,0.5690608024597168,1.0,6.40625,0.0004930799999999999,1629
84,1.093348503112793,0.7436363697052002,1.0,6.90625,0.00049902,1100
85,1.0395963191986084,0.7510170936584473,1.0,7.25,0.0005049599999999999,1229
86,1.7471097707748413,0.5255318880081177,1.0,10.375,0.0005109,1410
87,1.7120280265808105,0.5189125537872314,0.75,7.4375,0.00051684,1692
88,1.6421252489089966,0.5461592674255371,1.0,9.0625,0.0005227799999999999,1419
89,1.3405622243881226,0.6370967626571655,0.5,9.3125,0.00052872,744
90,1.7725720405578613,0.5178661346435547,0.5,8.875,0.00053466,1987
91,1.115208387374878,0.711690366268158,0.5,7.0625,0.0005405999999999999,1266
92,1.0456997156143188,0.7230769395828247,0.75,6.5,0.00054654,1235
93,1.0538227558135986,0.7091666460037231,1.0,6.78125,0.0005524799999999999,1200
94,1.3410565853118896,0.64446622133255,1.0,6.0,0.0005584199999999999,2042
95,1.2430760860443115,0.6463330984115601,1.0,6.78125,0.00056436,1459
96,0.7742851972579956,0.8175787925720215,1.0,5.40625,0.0005702999999999999,1206
97,1.2832109928131104,0.6602919101715088,0.75,6.28125,0.0005762399999999999,1987
98,0.9018067717552185,0.7891440391540527,0.5,8.75,0.00058218,479
99,1.207209587097168,0.6739237904548645,1.0,8.0,0.0005881199999999999,2021
100,1.8575966358184814,0.4910130798816681,0.5,8.75,0.00059406,1224
101,1.1698814630508423,0.6687808036804199,0.5,5.8125,0.0006,1419
102,0.5724576115608215,0.875,1.0,6.5,0.0005999999042888513,744
103,1.1011360883712769,0.6990049481391907,0.75,5.90625,0.0005999996171554676,2010
104,1.0974093675613403,0.6969936490058899,0.75,7.0625,0.000599999138600035,1264
105,1.076992154121399,0.7089611291885376,0.75,5.59375,0.0005999984686228642,1261
106,0.9354346990585327,0.757171094417572,0.75,5.0,0.0005999976072243898,2022
107,0.8484861850738525,0.7850877046585083,1.0,5.40625,0.0005999965544051709,1824
108,0.9222111105918884,0.73758864402771,1.0,6.21875,0.0005999953101658905,1128
109,0.6290991902351379,0.8434004187583923,1.0,5.84375,0.000599993874507356,1341
110,1.2066117525100708,0.634178876876831,0.75,8.125,0.0005999922474304992,1498
111,0.8572888374328613,0.7494252920150757,1.0,6.46875,0.0005999904289363757,1305
112,0.7100632786750793,0.8233618140220642,1.0,4.40625,0.0005999884190261654,1404
113,0.8661195635795593,0.7589552402496338,0.5,5.78125,0.0005999862177011728,1340
114,0.8780225515365601,0.7533602118492126,1.0,5.3125,0.000599983824962826,1488
115,0.6357642412185669,0.8290722966194153,1.0,4.3125,0.0005999812408126778,1369
116,0.566790759563446,0.8673718571662903,1.0,3.765625,0.0005999784652524051,1229
117,0.5143455862998962,0.8860877752304077,1.0,4.6875,0.0005999754982838087,1071
118,0.6773165464401245,0.8341121673583984,1.0,4.875,0.000599972339908814,1712
119,1.221291184425354,0.6241560578346252,0.25,6.40625,0.0005999689901294706,1333
120,0.6815291047096252,0.8129032254219055,1.0,4.75,0.0005999654489479518,1705
121,0.7657097578048706,0.7845454812049866,1.0,4.96875,0.0005999617163665555,1100
122,0.7934357523918152,0.7833495736122131,1.0,4.71875,0.0005999577923877038,2054
123,0.6714632511138916,0.8070921897888184,1.0,4.46875,0.0005999536770139429,1410
124,0.40974199771881104,0.9175084233283997,1.0,3.3125,0.0005999493702479434,1188
125,0.40357834100723267,0.9134438037872314,1.0,3.875,0.0005999448720924997,1629
126,0.7558860778808594,0.7801418304443359,1.0,4.5625,0.0005999401825505307,1692
127,0.5937920212745667,0.8495237827301025,0.5,4.15625,0.0005999353016250794,1575
