step,loss,acc,eos_acc,gnorm,lr,n_tok
1,7.381094932556152,0.0011709601385518909,0.0,572.0,5.999999999999999e-06,1708
2,7.154386043548584,0.010526316240429878,0.0,540.0,8.969999999999999e-06,1995
3,6.7325849533081055,0.10896960645914078,0.0,486.0,1.194e-05,1349
4,6.395385265350342,0.11327560991048813,0.0,506.0,1.4909999999999996e-05,1386
5,5.8971781730651855,0.12896011769771576,0.0,354.0,1.7879999999999998e-05,2683
6,5.817329406738281,0.13203300535678864,0.0,249.0,2.085e-05,1333
7,5.625978469848633,0.15741583704948425,0.0,260.0,2.382e-05,2198
8,5.597349643707275,0.14317019283771515,0.0,174.0,2.679e-05,1369
9,5.391951084136963,0.16411936283111572,0.0,161.0,2.9759999999999996e-05,2748
10,5.5361409187316895,0.14722482860088348,0.0,149.0,3.273e-05,2126
11,5.43816614151001,0.1589537262916565,0.0,140.0,3.57e-05,3976
12,5.660591125488281,0.16001352667808533,0.0,159.0,3.867e-05,2956
13,5.241705894470215,0.13709677755832672,0.0,136.0,4.163999999999999e-05,744
14,5.109657287597656,0.14663554728031158,0.0,104.0,4.460999999999999e-05,5142
15,5.61984395980835,0.11060433089733124,0.0,97.0,4.7579999999999995e-05,1754
16,5.295571327209473,0.13037723302841187,0.0,81.5,5.054999999999999e-05,1511
17,4.842762470245361,0.18422318994998932,0.0,74.5,5.351999999999999e-05,2079
18,5.1207170486450195,0.14135514199733734,0.0,65.0,5.648999999999998e-05,1712
19,5.296658039093018,0.12979966402053833,0.25,62.0,5.945999999999999e-05,2396
20,5.222219944000244,0.12121212482452393,0.25,55.0,6.242999999999998e-05,1881
21,4.718738079071045,0.1887713521718979,0.0,47.75,6.539999999999999e-05,1229
22,4.988785743713379,0.1459992378950119,0.0,45.75,6.837e-05,5274
23,5.056425094604492,0.14273875951766968,0.0,51.0,7.133999999999999e-05,4827
24,5.140631675720215,0.14347921311855316,0.5,47.5,7.430999999999998e-05,4593
25,4.909809589385986,0.1460592895746231,0.0,45.25,7.727999999999999e-05,2766
26,5.213254928588867,0.16920989751815796,0.0,48.25,8.025e-05,2949
27,4.716712951660156,0.18552757799625397,0.0,37.75,8.321999999999999e-05,3137
28,5.290520191192627,0.13123515248298645,0.0,40.25,8.618999999999999e-05,1684
29,4.582020282745361,0.1621621549129486,0.0,43.5,8.916e-05,4292
30,4.863048553466797,0.16457858681678772,0.0,35.25,9.213e-05,1756
31,5.00449275970459,0.12744437158107758,0.5,33.75,9.51e-05,1483
32,4.598294258117676,0.16172704100608826,0.0,28.25,9.807e-05,2733
33,4.772226810455322,0.15819601714611053,0.0,33.0,0.00010103999999999998,5765
34,4.931859970092773,0.12478335946798325,0.5,30.375,0.00010400999999999999,1154
35,4.436586856842041,0.18119890987873077,0.0,18.75,0.00010697999999999998,5138
36,4.617923259735107,0.16923795640468597,0.25,23.0,0.00010994999999999999,2139
37,4.803725719451904,0.16045626997947693,0.0,27.125,0.00011292,2630
38,4.642211437225342,0.17214111983776093,0.0,22.625,0.00011589,1644
39,4.7231316566467285,0.17413441836833954,0.0,35.5,0.00011885999999999998,2946
40,4.543916702270508,0.17849545180797577,0.25,18.75,0.00012182999999999999,5171
41,4.939251899719238,0.14899712800979614,0.0,22.125,0.0001248,1047
42,4.255472183227539,0.18463219702243805,0.0,18.75,0.00012776999999999998,2746
43,4.55441951751709,0.17637044191360474,0.0,16.625,0.00013073999999999998,2937
44,4.609696865081787,0.15644001960754395,0.0,23.125,0.00013371,1809
45,4.645288944244385,0.13693398237228394,0.25,22.0,0.00013668,1833
46,4.394320011138916,0.17674508690834045,0.5,14.3125,0.00013964999999999998,5143
47,4.0734663009643555,0.23721881210803986,0.25,17.375,0.00014261999999999999,2934
48,4.527021884918213,0.17224003374576569,0.0,17.875,0.00014559,2183
49,4.534567356109619,0.13805046677589417,0.25,19.625,0.00014855999999999997,2021
50,3.7894039154052734,0.2742881178855896,0.25,20.125,0.00015152999999999998,2388
51,4.291017055511475,0.15578818321228027,0.0,16.625,0.0001545,1624
52,4.123908996582031,0.2053079605102539,0.0,13.5,0.00015747,1997
53,4.144742965698242,0.15715162456035614,0.25,14.0625,0.00016043999999999997,1629
54,4.2328200340271,0.18036265671253204,0.25,17.25,0.00016340999999999998,5184
55,4.3215718269348145,0.1733333319425583,0.0,17.5,0.00016638,2550
56,4.167516708374023,0.19164490699768066,0.25,16.875,0.00016935,1915
57,4.06373929977417,0.18119747936725616,0.25,13.1875,0.00017232,1904
58,3.933704376220703,0.2182130515575409,0.5,11.4375,0.00017528999999999998,2910
59,4.1039814949035645,0.14552238583564758,0.5,13.4375,0.00017826,1340
60,3.9718801975250244,0.20403125882148743,0.75,15.875,0.00018122999999999997,2431
61,3.7617948055267334,0.23588596284389496,0.0,15.1875,0.00018419999999999998,1789
62,3.9696719646453857,0.21899999678134918,0.25,12.0,0.00018716999999999999,3000
63,4.103006839752197,0.18763409554958344,0.0,11.5625,0.00019014,5127
64,3.7295658588409424,0.2561165988445282,1.0,21.0,0.00019310999999999997,1921
65,3.4920120239257812,0.3003770411014557,0.75,16.375,0.00019607999999999998,2387
66,4.197620391845703,0.14565643668174744,0.5,13.5,0.00019905,1531
67,4.022831916809082,0.16191156208515167,1.0,11.875,0.00020202,1402
68,3.733147621154785,0.20059657096862793,0.0,10.875,0.00020499,1341
69,4.1668267250061035,0.1751886010169983,0.25,15.0,0.00020795999999999995,2386
70,3.942876100540161,0.2111739218235016,0.75,24.5,0.00021093,3007
71,3.1008410453796387,0.3562786877155304,1.0,12.1875,0.00021389999999999997,2397
72,2.9760348796844482,0.37613919377326965,0.75,10.0625,0.00021687,2414
73,3.670470952987671,0.23994147777557373,0.5,12.75,0.00021983999999999998,2734
74,3.859557628631592,0.21778585016727448,0.5,12.125,0.00022281,5510
75,3.6273012161254883,0.20093457400798798,0.25,14.9375,0.00022578,1498
76,3.505415916442871,0.31259313225746155,0.0,21.5,0.00022875,2684
77,4.152711391448975,0.18426626920700073,0.0,17.375,0.00023171999999999998,3305
78,4.053915977478027,0.15877193212509155,0.0,17.75,0.00023469000000000002,1140
79,3.2775192260742188,0.2693677544593811,0.25,14.1875,0.00023765999999999997,2246
80,3.6447246074676514,0.22685964405536652,0.5,11.8125,0.00024062999999999995,2971
81,3.353355646133423,0.31716418266296387,0.25,17.625,0.00024359999999999999,2948
82,3.739245653152466,0.23259691894054413,0.0,10.0625,0.00024657,4798
83,3.789206027984619,0.19687162339687347,0.5,12.625,0.00024953999999999997,1854
84,3.6655306816101074,0.19402985274791718,0.0,12.0,0.00025250999999999995,1206
85,2.4988715648651123,0.45207148790359497,0.75,13.375,0.00025548,2462
86,3.4037928581237793,0.2595588266849518,0.25,8.875,0.00025844999999999997,2720
87,3.6579718589782715,0.2604651153087616,0.0,11.6875,0.00026142,2365
88,3.5768768787384033,0.2954006493091583,0.25,9.25,0.00026439,2109
89,2.330446243286133,0.5232397317886353,0.5,10.5,0.00026736,2173
90,3.821885347366333,0.19127848744392395,0.5,14.8125,0.00027033,2018
91,3.7091660499572754,0.224462628364563,0.25,10.375,0.0002733,5257
92,3.429621696472168,0.22474747896194458,0.25,10.125,0.00027627,1188
93,3.437628746032715,0.23660263419151306,0.0,7.09375,0.00027924,4945
94,3.4948275089263916,0.22832272946834564,0.25,11.6875,0.00028220999999999997,2987
95,3.509780168533325,0.2531183362007141,0.5,9.75,0.00028517999999999995,3287
96,2.1443238258361816,0.524653971195221,0.75,7.875,0.00028815,2312
97,3.1714224815368652,0.29110386967658997,0.0,9.125,0.00029111999999999996,4294
98,2.6071019172668457,0.4575504660606384,0.25,14.5,0.00029409,2874
99,3.6874587535858154,0.20142421126365662,0.0,11.6875,0.00029706,983
100,3.3998823165893555,0.27542373538017273,0.5,8.3125,0.00030002999999999996,4956
101,3.360006809234619,0.2571711242198944,0.75,8.0,0.000303,2022
102,3.533219814300537,0.21713696420192719,0.5,10.1875,0.0003059699999999999,2906
103,3.69356369972229,0.20924261212348938,0.25,10.0,0.00030894,1558
104,3.1159017086029053,0.2975989282131195,0.25,8.0625,0.00031191,2957
105,3.098670721054077,0.3175281882286072,0.75,6.8125,0.0003148799999999999,2573
106,3.356576442718506,0.22276879847049713,1.0,8.625,0.00031785,1423
107,3.361380100250244,0.24320241808891296,0.75,8.375,0.0003208199999999999,1324
108,2.814979314804077,0.38998788595199585,1.0,7.40625,0.00032378999999999996,2477
109,2.964447498321533,0.3286663591861725,1.0,8.125,0.00032675999999999994,4214
