track,unit,class,chunk_len,pos,orig_tok,new_tok,notes_before,notes_after,notes_lost,notes_added,damage
Track02029,0,shift,56,3,111,777,17,16,1,0,1
Track02029,0,shift,56,36,452,441,17,17,1,1,2
Track02029,0,shift,56,21,414,862,17,16,1,0,1
Track02029,0,shift,56,3,111,701,17,16,1,0,1
Track02029,0,shift,56,9,338,97,17,17,1,1,2
Track02029,0,shift,56,29,414,979,17,16,1,0,1
Track02029,0,drum,56,32,1346,1362,17,17,1,1,2
Track02029,0,drum,56,32,1346,1365,17,17,1,1,2
Track02029,0,drum,56,10,1307,1281,17,17,1,1,2
Track02029,0,drum,56,40,1329,1322,17,17,1,1,2
Track02029,0,drum,56,10,1307,1313,17,17,1,1,2
Track02029,0,drum,56,4,1307,1383,17,17,1,1,2
Track02029,0,program,56,26,1159,1219,17,17,5,5,10
Track02029,0,program,56,22,1151,1242,17,17,1,1,2
Track02029,0,program,56,22,1151,1193,17,17,1,1,2
Track02029,0,velocity,56,27,1133,1132,17,16,1,0,1
Track02029,0,velocity,56,19,1133,1132,17,16,1,0,1
Track02029,0,velocity,56,16,1132,1133,17,18,0,1,1
Track02029,0,velocity,56,37,1133,1132,17,16,1,0,1
Track02029,0,velocity,56,48,1133,1132,17,16,1,0,1
Track02029,0,velocity,56,13,1133,1132,17,16,1,0,1
Track02029,0,pitch,56,49,1061,1110,17,17,1,1,2
Track02029,0,pitch,56,24,1073,1085,17,17,1,1,2
Track02029,0,pitch,56,17,1044,1101,17,17,0,0,0
Track02029,0,pitch,56,43,1056,1049,17,17,0,0,0
Track02029,0,pitch,56,14,1044,1128,17,17,1,1,2
Track02029,0,pitch,56,28,1049,1118,17,17,1,1,2
Track02029,1,program,268,202,1151,1236,48,48,0,0,0
Track02029,1,program,268,206,1159,1161,48,48,0,0,0
Track02029,1,program,268,103,1159,1196,48,48,0,0,0
Track02029,1,program,268,111,1159,1140,48,48,10,10,20
Track02029,1,program,268,179,1151,1155,48,48,1,1,2
Track02029,1,program,268,206,1159,1224,48,48,0,0,0
Track02029,1,pitch,268,243,1066,1099,48,48,0,0,0
Track02029,1,pitch,268,86,1068,1127,48,48,1,1,2
Track02029,1,pitch,268,101,1075,1045,48,48,0,0,0
Track02029,1,pitch,268,239,1063,1051,48,48,0,0,0
Track02029,1,pitch,268,14,1065,1063,48,48,0,0,0
Track02029,1,pitch,268,208,1046,1028,48,48,0,0,0
Track02029,1,shift,268,127,256,132,48,48,1,1,2
Track02029,1,shift,268,182,370,479,48,48,1,1,2
Track02029,1,shift,268,92,167,230,48,48,0,0,0
Track02029,1,shift,268,150,294,673,48,47,1,0,1
Track02029,1,shift,268,251,446,440,48,48,1,1,2
Track02029,1,shift,268,49,66,836,48,47,1,0,1
Track02029,1,velocity,268,170,1132,1133,48,49,0,1,1
