track,duration_s,n_notes,density_notes_per_s,polyphony_mean,polyphony_p95,drum_share,median_dur_s,mean_pitch,n_groups,groups,n_chunks,tokens_total,tokens_per_note,chunk_tokens_max,chunk_tokens_mean,empty_chunks,durfrac_0.0-0.1,durfrac_0.1-0.25,durfrac_0.25-0.5,durfrac_0.5-1.0,durfrac_1.0-2.0,durfrac_>=2.0,split
Track00003,213.09,8069,38.322,5.146,11.0,0.2257,0.13,53.88,7,acoustic_piano:2089;drums:1821;acoustic_guitar:1652;distorted_electric_guitar:1100;clean_electric_guitar:618;electric_bass:577;singleton_110:212,43,48624,6.026,1645,1130.8,0,0.4076,0.3518,0.1889,0.0402,0.0064,0.0051,train
Track00016,194.49,5166,27.458,4.226,9.0,0.4324,0.13,55.84,14,drums:2234;electric_piano:810;clean_electric_guitar:653;string_ensemble:567;electric_bass:377;brass_section:276;flutes:104;orchestral_harp:53;acoustic_piano:45;timpani:24;distorted_electric_guitar:12;singleton_125:5;oboe:4;chromatic_percussion:2,40,25299,4.897,1025,632.5,0,0.4334,0.295,0.1516,0.0339,0.0397,0.0465,train
Track00022,204.33,5330,26.085,5.545,10.0,0.333,0.11,55.77,9,string_ensemble:2037;drums:1775;clean_electric_guitar:637;acoustic_piano:435;electric_bass:312;synth_strings:69;synth_pad:37;singleton_115:20;singleton_119:8,41,28040,5.261,1247,683.9,0,0.3328,0.6388,0.0171,0.0051,0.0008,0.0054,train
Track00023,265.2,5503,20.997,7.967,17.0,0.2102,0.19,55.53,8,acoustic_piano:1558;acoustic_guitar:1461;drums:1157;tenor_sax:341;string_ensemble:331;electric_bass:279;distorted_electric_guitar:256;synth_pad:120,54,32564,5.917,973,603.0,0,0.0596,0.6436,0.1347,0.052,0.0427,0.0674,train
Track00036,203.73,5977,29.76,1.951,5.0,0.1615,0.06,55.16,6,acoustic_guitar:4189;drums:965;electric_bass:330;electric_piano:297;organ:171;acoustic_piano:25,42,34651,5.797,1135,825.0,0,0.565,0.1054,0.1656,0.0992,0.0545,0.0102,train
Track00045,223.41,4372,19.762,8.028,15.0,0.1075,0.33,58.57,6,acoustic_piano:1513;string_ensemble:798;electric_piano:754;acoustic_guitar:670;drums:470;acoustic_bass:167,47,29449,6.736,1081,626.6,0,0.1416,0.2802,0.2198,0.1624,0.1377,0.0583,train
Track00051,221.94,3276,14.934,4.816,11.0,0.4228,0.29,56.01,7,drums:1385;acoustic_guitar:742;electric_piano:386;organ:333;electric_bass:230;voice:104;distorted_electric_guitar:96,46,16852,5.144,538,366.3,0,0.4362,0.043,0.1621,0.1545,0.0965,0.1078,train
Track00058,238.04,7576,32.289,6.56,14.0,0.3969,0.03,53.02,10,drums:3007;synth_pad:1346;electric_bass:841;brass_section:518;electric_piano:516;voice:480;clean_electric_guitar:376;string_ensemble:228;distorted_electric_guitar:152;acoustic_piano:112,49,39735,5.245,1187,810.9,0,0.6036,0.3106,0.0191,0.0074,0.0579,0.0013,train
Track00068,295.5,2893,9.925,6.773,16.0,0.2803,0.45,54.5,9,drums:811;acoustic_piano:619;string_ensemble:519;soprano_and_alto_sax:417;distorted_electric_guitar:268;electric_bass:198;synth_pad:31;viola:18;french_horn:12,60,15967,5.519,441,266.1,0,0.0138,0.3436,0.1552,0.0857,0.1604,0.2413,train
Track00081,183.9,6179,34.18,8.235,14.0,0.3612,0.13,61.09,8,drums:2232;clean_electric_guitar:1336;acoustic_piano:1235;acoustic_bass:308;soprano_and_alto_sax:290;organ:287;synth_strings:261;voice:230,38,32523,5.263,1115,855.9,0,0.3412,0.4352,0.0778,0.0384,0.085,0.0225,train
