track,mode,category,value
Track01876,continuous,n_gt,4102
Track01876,continuous,n_pred,2459
Track01876,continuous,tp_onset,61
Track01876,continuous,tp_offset_ok,61
Track01876,continuous,tp_offset_short,0
Track01876,continuous,tp_offset_long,0
Track01876,continuous,miss_timing_near,434
Track01876,continuous,miss_same_pitch_far,40
Track01876,continuous,miss_octave,2
Track01876,continuous,miss_program_swap,6
Track01876,continuous,miss_no_candidate,3559
Track01876,continuous,fp_timing,484
Track01876,continuous,fp_octave,1
Track01876,continuous,fp_program_swap,5
Track01876,continuous,fp_spurious_near,1899
Track01876,continuous,fp_spurious_far,9
Track01876,continuous,gt_drum,1241
Track01876,continuous,pred_drum,991
Track01876,continuous,tp_drum,61
Track01876,continuous,miss_drum,1180
Track01876,continuous,fp_drum,930
Track01876,continuous,tp_pitched,0
Track01876,continuous,tp_pitched_offset_ok,0
Track01876,continuous,tp_pitched_offset_short,0
Track01876,continuous,tp_pitched_offset_long,0
Track01876,continuous,mean_offset_delta_ticks_pitched,nan
Track01876,continuous,mean_duration_ratio_pitched,nan
Track01876,continuous,precision,0.0248068
Track01876,continuous,recall,0.0148708
Track01876,continuous,f1,0.0185947
Track01876,continuous,mean_onset_delta_ticks,2.40984
Track01876,continuous,mean_offset_delta_ticks,-1.60656
Track01876,continuous,mean_duration_ratio,0.767511
Track01876,reset,n_gt,4102
Track01876,reset,n_pred,11962
Track01876,reset,tp_onset,305
Track01876,reset,tp_offset_ok,303
Track01876,reset,tp_offset_short,2
Track01876,reset,tp_offset_long,0
Track01876,reset,miss_timing_near,305
Track01876,reset,miss_same_pitch_far,1024
Track01876,reset,miss_octave,6
Track01876,reset,miss_program_swap,9
Track01876,reset,miss_no_candidate,2453
Track01876,reset,fp_timing,2790
Track01876,reset,fp_octave,17
Track01876,reset,fp_program_swap,10
Track01876,reset,fp_spurious_near,8840
Track01876,reset,fp_spurious_far,0
Track01876,reset,gt_drum,1241
Track01876,reset,pred_drum,3347
Track01876,reset,tp_drum,302
Track01876,reset,miss_drum,939
Track01876,reset,fp_drum,3045
Track01876,reset,tp_pitched,3
Track01876,reset,tp_pitched_offset_ok,1
Track01876,reset,tp_pitched_offset_short,2
Track01876,reset,tp_pitched_offset_long,0
Track01876,reset,mean_offset_delta_ticks_pitched,-23
Track01876,reset,mean_duration_ratio_pitched,0.176505
Track01876,reset,precision,0.0254974
Track01876,reset,recall,0.074354
Track01876,reset,f1,0.0379731
Track01876,reset,mean_onset_delta_ticks,2.20656
Track01876,reset,mean_offset_delta_ticks,-0.672131
Track01876,reset,mean_duration_ratio,0.752481
Track01880,continuous,n_gt,8161
Track01880,continuous,n_pred,2421
Track01880,continuous,tp_onset,238
Track01880,continuous,tp_offset_ok,143
Track01880,continuous,tp_offset_short,95
Track01880,continuous,tp_offset_long,0
Track01880,continuous,miss_timing_near,1058
Track01880,continuous,miss_same_pitch_far,0
Track01880,continuous,miss_octave,0
Track01880,continuous,miss_program_swap,6
Track01880,continuous,miss_no_candidate,6859
Track01880,continuous,fp_timing,253
Track01880,continuous,fp_octave,0
Track01880,continuous,fp_program_swap,0
Track01880,continuous,fp_spurious_near,1895
Track01880,continuous,fp_spurious_far,35
Track01880,continuous,gt_drum,4381
Track01880,continuous,pred_drum,967
Track01880,continuous,tp_drum,238
Track01880,continuous,miss_drum,4143
Track01880,continuous,fp_drum,729
Track01880,continuous,tp_pitched,0
Track01880,continuous,tp_pitched_offset_ok,0
Track01880,continuous,tp_pitched_offset_short,0
Track01880,continuous,tp_pitched_offset_long,0
Track01880,continuous,mean_offset_delta_ticks_pitched,nan
Track01880,continuous,mean_duration_ratio_pitched,nan
Track01880,continuous,precision,0.0983065
Track01880,continuous,recall,0.0291631
Track01880,continuous,f1,0.044982
Track01880,continuous,mean_onset_delta_ticks,2.39496
Track01880,continuous,mean_offset_delta_ticks,-8.19328
Track01880,continuous,mean_duration_ratio,0.0989729
Track01880,reset,n_gt,8161
Track01880,reset,n_pred,13854
Track01880,reset,tp_onset,667
Track01880,reset,tp_offset_ok,456
Track01880,reset,tp_offset_short,211
Track01880,reset,tp_offset_long,0
Track01880,reset,miss_timing_near,870
Track01880,reset,miss_same_pitch_far,2498
Track01880,reset,miss_octave,29
Track01880,reset,miss_program_swap,32
Track01880,reset,miss_no_candidate,4065
Track01880,reset,fp_timing,2970
Track01880,reset,fp_octave,20
Track01880,reset,fp_program_swap,33
Track01880,reset,fp_spurious_near,10154
Track01880,reset,fp_spurious_far,10
Track01880,reset,gt_drum,4381
Track01880,reset,pred_drum,4247
Track01880,reset,tp_drum,652
Track01880,reset,miss_drum,3729
Track01880,reset,fp_drum,3595
Track01880,reset,tp_pitched,15
Track01880,reset,tp_pitched_offset_ok,14
Track01880,reset,tp_pitched_offset_short,1
Track01880,reset,tp_pitched_offset_long,0
Track01880,reset,mean_offset_delta_ticks_pitched,-2.6
Track01880,reset,mean_duration_ratio_pitched,0.838761
Track01880,reset,precision,0.0481449
Track01880,reset,recall,0.0817302
Track01880,reset,f1,0.060595
Track01880,reset,mean_onset_delta_ticks,2.42279
Track01880,reset,mean_offset_delta_ticks,-8.27586
Track01880,reset,mean_duration_ratio,0.123833
Track01887,continuous,n_gt,10961
Track01887,continuous,n_pred,43993
Track01887,continuous,tp_onset,1144
Track01887,continuous,tp_offset_ok,1061
Track01887,continuous,tp_offset_short,83
Track01887,continuous,tp_offset_long,0
Track01887,continuous,miss_timing_near,667
Track01887,continuous,miss_same_pitch_far,0
Track01887,continuous,miss_octave,350
Track01887,continuous,miss_program_swap,119
Track01887,continuous,miss_no_candidate,8681
Track01887,continuous,fp_timing,23964
Track01887,continuous,fp_octave,123
Track01887,continuous,fp_program_swap,117
Track01887,continuous,fp_spurious_near,18377
Track01887,continuous,fp_spurious_far,268
Track01887,continuous,gt_drum,2776
Track01887,continuous,pred_drum,10459
Track01887,continuous,tp_drum,1035
Track01887,continuous,miss_drum,1741
Track01887,continuous,fp_drum,9424
Track01887,continuous,tp_pitched,109
Track01887,continuous,tp_pitched_offset_ok,26
