split,group,tracks_with_group,track_share,notes,note_share
train,drums,120,1.0,217795,0.3075
train,acoustic_guitar,64,0.533,94210,0.133
train,acoustic_piano,89,0.742,72437,0.1023
train,clean_electric_guitar,77,0.642,61531,0.0869
train,electric_piano,80,0.667,57455,0.0811
train,electric_bass,80,0.667,37866,0.0535
train,distorted_electric_guitar,53,0.442,28373,0.0401
train,string_ensemble,75,0.625,27360,0.0386
train,acoustic_bass,44,0.367,19189,0.0271
train,voice,50,0.417,15151,0.0214
train,organ,37,0.308,14188,0.02
train,flutes,29,0.242,10493,0.0148
train,brass_section,27,0.225,8237,0.0116
train,synth_pad,40,0.333,7921,0.0112
train,synth_lead,19,0.158,7074,0.01
train,soprano_and_alto_sax,20,0.167,5581,0.0079
train,chromatic_percussion,24,0.2,5075,0.0072
train,synth_strings,22,0.183,4713,0.0067
train,trumpet,11,0.092,2256,0.0032
train,tenor_sax,7,0.058,1756,0.0025
train,singleton_108,2,0.017,1040,0.0015
train,singleton_110,3,0.025,930,0.0013
train,trombone,4,0.033,632,0.0009
train,orchestral_harp,6,0.05,610,0.0009
train,bassoon,2,0.017,575,0.0008
train,prog100,4,0.033,537,0.0008
train,clarinet,2,0.017,528,0.0007
train,singleton_96,2,0.017,456,0.0006
train,french_horn,7,0.058,416,0.0006
train,singleton_99,2,0.017,407,0.0006
train,singleton_118,2,0.017,390,0.0006
train,oboe,3,0.025,365,0.0005
train,tuba,2,0.017,357,0.0005
train,singleton_105,1,0.008,324,0.0005
train,prog101,2,0.017,255,0.0004
train,viola,2,0.017,204,0.0003
train,singleton_113,1,0.008,202,0.0003
train,baritone_sax,2,0.017,177,0.0002
train,singleton_126,1,0.008,176,0.0002
train,singleton_120,3,0.025,150,0.0002
train,singleton_106,1,0.008,150,0.0002
train,singleton_98,3,0.025,140,0.0002
train,cello,2,0.017,121,0.0002
train,singleton_112,1,0.008,90,0.0001
train,contrabass,1,0.008,36,0.0001
train,singleton_119,8,0.067,34,0.0
train,violin,2,0.017,30,0.0
train,english_horn,1,0.008,28,0.0
train,singleton_127,2,0.017,26,0.0
train,timpani,1,0.008,24,0.0
train,singleton_115,1,0.008,20,0.0
train,singleton_125,2,0.017,16,0.0
train,singleton_102,1,0.008,14,0.0
train,singleton_116,1,0.008,12,0.0
train,singleton_124,2,0.017,12,0.0
train,singleton_97,1,0.008,10,0.0
train,singleton_122,3,0.025,9,0.0
train,orchestra_hit,1,0.008,4,0.0
valid,drums,20,1.0,41933,0.3382
