arm,k_consecutive_bad,n,p_next_bad
r2_continuous_note_zero,1,268,0.5261194029850746
r2_continuous_note_zero,2,141,0.6879432624113475
r2_continuous_note_zero,3,97,0.7628865979381443
r2_continuous_note_zero,4,74,0.8783783783783784
r2_continuous_note_zero,5,65,0.7538461538461538
r2_continuous_note_zero,6,49,0.7959183673469388
r2_continuous_note_zero,7,39,0.8717948717948718
r2_continuous_note_zero,8,34,0.8823529411764706
r2_reset_note_zero,1,320,0.475
r2_reset_note_zero,2,152,0.5855263157894737
r2_reset_note_zero,3,89,0.6292134831460674
r2_reset_note_zero,4,56,0.625
r2_reset_note_zero,5,35,0.6285714285714286
r2_reset_note_zero,6,22,0.7272727272727273
r2_reset_note_zero,7,16,0.8125
r2_reset_note_zero,8,13,0.5384615384615384
