grouping,group,n_tracks,mean_r1_f1,mean_r2_f1,mean_d_f1,median_d_f1,improved,mean_d_switches,mean_r1_trunc,mean_r2_trunc,mean_r1_ratio,mean_r2_ratio
r1_truncation,r1_trunc_0,15,0.018124672349623994,0.02469184505324186,0.006567172703617871,0.004375849428122643,10,-0.5333333333333333,0.0,0.06666666666666667,2.2537231309397643,1.1894879778003966
r1_truncation,r1_trunc_1_10,8,0.021779101662852424,0.03024806082100177,0.008468959158149342,0.001511100484531657,5,-15.375,4.125,0.0,2.4609620421907428,0.6696223312339488
r1_truncation,r1_trunc_gt10,37,0.004159909289797656,0.020813210662818712,0.016653301373021064,0.009413979759943516,28,-4.702702702702703,32.78378378378378,0.02702702702702703,2.631881717525666,0.9524362172147612
r1_overproduction,ratio<=1.5,22,0.003855663991128525,0.01895459652947506,0.015098932538346542,0.01004960678108921,20,-0.5,25.181818181818183,0.09090909090909091,0.9640273969921945,0.8940008251960078
r1_overproduction,ratio>1.5,38,0.01355776143328592,0.025406574559012712,0.011848813125726793,0.005854753585293608,23,-7.7368421052631575,18.210526315789473,0.0,3.4122253714800994,1.0203005315660931
tercile_duration_s,high,20,0.008592913288319844,0.02735762356972893,0.018764710281409087,0.013483094864031587,17,-5.45,25.85,0.05,1.862974227191692,0.9434293060825871
tercile_duration_s,low,20,0.01203733779284703,0.027920577948707483,0.01588324015586046,0.009101622309458443,14,-5.65,12.3,0.0,2.8906112468819067,1.1897428893316295
tercile_duration_s,mid,20,0.009370726032317757,0.013844346326110313,0.0044736202937925565,0.0010470795381991352,12,-4.15,24.15,0.05,2.7900728684300033,0.7887997222769683
tercile_n_gt,high,20,0.004341943817112749,0.02852633949774337,0.024184395680630626,0.022819501135193855,19,-4.2,28.95,0.05,1.516258146521012,0.846848199424706
tercile_n_gt,low,20,0.012257267454265931,0.018586716775766378,0.006329449321500447,0.0021098933974509097,11,-4.6,17.75,0.05,3.3788831414256864,1.233849282776163
tercile_n_gt,mid,20,0.013401765842105947,0.02200949157103698,0.008607725728931028,0.002558404197159456,13,-6.45,15.6,0.0,2.6485170545569043,0.8412744354903159
tercile_gt_density_per_s,high,20,0.0028871474401364625,0.024041553126691186,0.021154405686554727,0.012579947218861524,17,-5.25,26.95,0.0,1.4057613788904868,0.8234965292546608
tercile_gt_density_per_s,low,20,0.014982758273571622,0.02290755656551299,0.007924798291941367,0.005212801206464182,13,-4.95,15.8,0.05,3.0708797389775224,1.1231477820686737
tercile_gt_density_per_s,mid,20,0.01213107139977654,0.022173438152342552,0.010042366752566007,0.003716613635039789,13,-5.05,19.55,0.05,3.067017224635593,0.9753276063678505
tercile_gt_polyphony_mean,high,20,0.009927079729361214,0.023566938578278247,0.013639858848917033,0.00808088200427107,15,-6.75,21.75,0.0,2.9636826806816208,1.0701494224571706
tercile_gt_polyphony_mean,low,20,0.007460579780782227,0.01687485729809704,0.009414277517314811,0.008892721612096841,14,-2.35,19.5,0.05,2.2727659518607046,1.0419813826670494
tercile_gt_polyphony_mean,mid,20,0.012613317603341187,0.028680751968171447,0.01606743436483025,0.0043054713800206885,14,-6.15,21.05,0.05,2.3072097099612767,0.8098411125669651
tercile_gt_drum_share,high,20,0.012434931121137475,0.030074870241457295,0.017639939120319824,0.011907695779559083,15,-5.5,24.8,0.0,2.65240667951774,0.7704461394913522
tercile_gt_drum_share,low,20,0.005757423857096713,0.018759389541515452,0.013001965684418743,0.00606365428265521,14,-5.7,19.05,0.1,2.0159877254471192,1.0627539020609305
tercile_gt_drum_share,mid,20,0.011808622135250439,0.020288288061573977,0.008479665926323538,0.0043054713800206885,14,-4.05,18.45,0.0,2.875263937538744,1.0887718761389023
tercile_gt_median_duration_s,high,20,0.006921064934185433,0.014002785664763633,0.0070817207305782035,0.0037338970492932174,15,-4.4,18.8,0.1,3.0664458013354556,1.3987714709903145
tercile_gt_median_duration_s,low,20,0.00772378409565623,0.030473626634499672,0.02274984253884345,0.013483094864031587,19,-4.9,26.55,0.0,1.7392024784635214,0.708075542916115
tercile_gt_median_duration_s,mid,20,0.015356128083642964,0.024646135545283422,0.009290007461640454,-0.001256378373394889,9,-5.95,16.95,0.0,2.738010062704625,0.8151249037847557
