track,r1_f1,r2_f1,d_f1,r1_p,r2_p,r1_r,r2_r,p_effect,r_effect,r1_offset_f1,r2_offset_f1,r1_n_pred,r2_n_pred,n_gt,r1_ratio,r2_ratio,r1_trunc,r2_trunc,r1_bnd,r2_bnd,r1_switches,r2_switches,d_switches,r1_inst_f1,r2_inst_f1,duration_s,gt_density_per_s,gt_polyphony_mean,gt_drum_share,gt_median_duration_s
Track01876,0.035204155244553455,0.008840115836000608,-0.026364039408552847,0.0431247790738777,0.011793411956079707,0.029741589468551925,0.007069722086786933,-0.010811194972156903,-0.015552844436395943,0.035204155244553455,0.008840115836000608,2829,2459,4102,0.6896635787420771,0.5994636762554851,0,0,0,0,1,1,0,0.035204155244553455,0.008840115836000608,258.98,16.550332862618518,2.0246791707798617,0.3025353486104339,0.21999999999999886
Track01880,0.0008430123641813413,0.0446040446040446,0.04376103223986326,0.0006822833750284285,0.09748038000826105,0.0011028060286729568,0.028918024751868644,0.022304428721444874,0.021456603518418386,0.000374672161858374,0.029862029862029862,13191,2421,8161,1.616346036024997,0.2966548217130254,2,0,0,0,21,0,-21,0.0008430123641813413,0.0446040446040446,246.5,34.01125234423838,3.011439114391144,0.5368214679573582,0.09000000000000341
Track01887,0.0,0.037849838046366054,0.037849838046366054,0.0,0.023640124565271748,0.0,0.09488185384545206,0.018924919023183027,0.018924919023183027,0.0,0.03519307056811151,8027,43993,10961,0.7323236930936958,4.013593650214396,69,0,67,0,2,1,-1,0.0,0.037849838046366054,419.16,26.654831963425902,5.899354144241119,0.2532615637259374,0.22999999999999687
Track01888,0.010379280240566493,0.02859641001902998,0.018217129778463487,0.007434169387896894,0.021031926161295202,0.017188755020080323,0.04465863453815261,0.012193887104998597,0.006023242673464891,0.003201086429333592,0.0015429717636167258,14393,13218,6225,2.312128514056225,2.1233734939759037,33,0,31,0,9,3,-6,0.010379280240566493,0.02859641001902998,311.52,20.860560973157735,2.2408207343412525,0.4019277108433735,0.18999999999999773
Track01889,0.00011424654404204273,0.007447904286506615,0.007333657742464573,7.453230975627935e-05,0.005508673230192217,0.00024455857177794083,0.011494252873563218,0.0038269396062786663,0.0035067181361859066,0.0,0.007447904286506615,13417,8532,4089,3.281242357544632,2.086573734409391,42,0,27,0,11,10,-1,0.00011424654404204273,0.007447904286506615,281.0,15.16185249731173,2.3127828054298645,0.39373930056248474,0.28999999999999204
Track01895,0.0006493506493506494,0.06087383406971036,0.06022448342035971,0.0005298013245033113,0.07341622261693309,0.0008385744234800838,0.0519916142557652,0.030416888904359392,0.029807594516000315,0.00048701298701298707,0.05719194894452626,7550,3378,4770,1.5828092243186582,0.7081761006289308,11,0,1,0,23,2,-21,0.0006493506493506494,0.06087383406971036,125.41,40.34167794316644,9.103053435114504,0.21174004192872117,0.10999999999999943
Track01897,0.009336511720301947,0.003812316715542522,-0.005524195004759425,0.007047533363322837,0.003800058462437884,0.013827596351868197,0.0038246543100912034,-0.002260436343302098,-0.0032637586614573276,0.00893921334922527,0.002639296187683285,6669,3421,3399,1.9620476610767872,1.006472491909385,1,0,0,0,10,0,-10,0.009336511720301947,0.003812316715542522,303.14,11.779179373440533,1.8523160762942779,0.17446307737569874,0.33999999999999986
Track01901,0.0038846126177972803,0.0012586532410320957,-0.0026259593767651848,0.002452204713682394,0.0023105360443622922,0.00934094447327452,0.0008649022660439371,-0.00010002005606592223,-0.0025259393206992623,0.002589741745198187,0.0,22021,2164,5781,3.8092025601107076,0.37432970074381594,11,0,0,0,6,1,-5,0.0038846126177972803,0.0012586532410320957,250.61,24.064438246680265,2.61229100768188,0.26293028887735687,0.21000000000000796
Track01902,0.023140036156306495,0.0012645422357106728,-0.02187549392059582,0.013660843294364903,0.002079002079002079,0.07559512992912956,0.0009085953116481918,-0.009766323309749407,-0.012109170610846414,0.010290641079126686,0.0,30452,2405,5503,5.533708886062148,0.4370343449027803,22,0,0,0,8,5,-3,0.023140036156306495,0.0012645422357106728,274.17,20.997405372405375,3.9646974063400577,0.2102489551153916,0.18999999999999773
Track01903,0.001381283607123477,0.041802492809204214,0.04042120920208074,0.00099361249112846,0.0345519864750634,0.0022650056625141564,0.05290406083158065,0.02136097053877543,0.019060238663305307,0.0010852942627398749,0.04014062000639182,14090,9464,6181,2.2795664132017475,1.5311438278595697,2,0,0,0,16,2,-14,0.001381283607123477,0.041802492809204214,243.67,26.638796707322328,1.6566604127579738,0.23701666397023136,0.19000000000000128
Track01906,0.06088928595972785,0.029537504858142244,-0.0313517811015856,0.046972749443325204,0.04386302424009234,0.0865234375,0.022265625,-0.0016741921589048924,-0.02967758894268071,0.05264243007353446,0.029537504858142244,9431,2599,5120,1.8419921875,0.5076171875,0,0,0,0,2,0,-2,0.06088928595972785,0.029537504858142244,261.0,20.539152759948653,2.570281124497992,0.2763671875,0.21000000000000796
Track01907,0.0038805349594622685,0.003280609256004686,-0.0005999257034575824,0.003379601689800845,0.0058601925491837585,0.004555808656036446,0.002277904328018223,0.0009024582479169882,-0.0015023839513745706,0.00041577160279952877,0.0,8285,2389,6146,1.3480312398307843,0.3887081028311097,30,0,28,0,2,1,-1,0.0038805349594622685,0.003280609256004686,246.69,25.728399196249164,3.1134751773049647,0.14432150992515458,0.18000000000000682
Track01913,0.01978585878521735,0.05960892411060384,0.039823065325386486,0.012345298934794656,0.0972729828507169,0.049801291604570294,0.04297069051167412,0.04325934654928856,-0.003436281223902075,0.003651255735925396,0.01860625376862779,32482,3557,8052,4.034028812717337,0.44175360158966714,28,0,0,0,20,0,-20,0.01978585878521735,0.05960892411060384,355.25,23.53353792196405,2.762264150943396,0.43517138599105815,0.13000000000000256
