delta_ticks,count
-475,1
-471,1
-459,1
-438,1
-425,2
-423,1
-403,1
-388,3
-385,1
-383,2
-382,1
-378,1
-375,1
-369,1
-362,1
-360,1
-356,1
-348,1
-339,1
-334,3
-331,2
-320,1
-319,2
-312,2
-309,1
-308,1
-307,1
-306,1
-303,1
-287,2
-286,1
-284,1
-283,3
-281,3
-279,1
-278,2
-271,1
-269,2
-265,1
-264,1
-262,2
-259,1
-258,1
-257,2
-256,2
-252,2
-251,2
-249,1
-248,1
-247,1
-242,1
-239,1
-238,1
-236,1
-234,3
-233,2
-232,1
-231,2
-230,1
-229,1
-228,1
-227,2
-226,2
-224,4
-223,3
-222,2
-221,1
-220,1
-219,5
-218,3
-217,4
-216,1
-215,1
-214,4
-212,6
-211,3
-210,1
-209,1
-208,1
-207,3
-206,1
-205,1
-204,3
-203,3
-202,4
-201,1
-200,2
-199,2
-198,2
-197,2
-196,4
-195,6
-194,1
-192,1
-190,1
-189,3
-188,1
-187,2
-186,3
-185,1
-184,2
-183,2
-182,2
-181,3
-180,2
-179,1
-178,3
-177,2
-176,1
-174,2
-173,6
-172,3
-171,2
-170,6
-169,3
-168,3
-167,2
-166,1
-165,2
-164,4
-163,1
-162,4
-161,5
-160,1
-159,1
-158,1
-157,2
-156,2
-155,5
-154,3
-153,6
-152,3
-151,2
-150,6
-149,4
-148,7
-147,11
-146,1
-145,1
-144,5
-143,5
-142,4
-141,8
-140,7
-139,3
-138,7
-137,9
-136,2
-135,6
-134,8
-133,5
-132,5
-131,2
-130,7
-129,7
-128,5
-127,4
-126,4
-125,9
-124,2
-123,6
-121,7
-120,3
-119,5
-118,12
-117,4
-116,7
-115,2
-114,4
-113,3
-112,3
-111,8
-110,6
-109,8
-108,11
-107,3
-106,9
-105,3
-104,5
-103,4
-102,5
-101,6
-100,8
-99,9
-98,19
-97,17
-96,11
-95,13
-94,15
-93,20
-92,20
-91,20
-90,25
-89,23
-88,27
-87,17
-86,18
-85,21
-84,21
-83,12
-82,22
-81,11
-80,14
-79,10
-78,27
-77,12
-76,19
-75,24
-74,32
-73,24
-72,20
-71,15
-70,15
-69,20
-68,18
-67,13
-66,21
-65,29
-64,29
-63,24
-62,21
-61,23
-60,26
-59,53
-58,28
-57,37
-56,23
-55,30
-54,29
-53,33
-52,36
-51,32
-50,37
-49,66
-48,44
-47,35
-46,35
-45,49
-44,43
-43,39
-42,67
-41,63
-40,68
-39,82
-38,88
-37,310
-36,134
-35,127
-34,137
-33,123
-32,244
-31,146
-30,103
-29,147
-28,121
-27,125
-26,110
-25,94
-24,121
-23,117
-22,161
-21,212
-20,218
-19,225
-18,279
-17,345
-16,687
-15,393
-14,502
-13,701
-12,912
-11,661
-10,773
-9,1092
-8,1127
-7,917
-6,1363
-5,2342
-4,2060
-3,2078
-2,2091
-1,2480
0,3040
1,1591
2,1516
3,1366
4,1154
5,876
6,55
7,64
8,40
9,51
10,38
11,34
12,34
13,25
14,25
15,24
16,21
17,26
18,24
19,15
20,10
21,13
22,9
23,6
24,6
25,5
26,4
27,2
28,5
29,7
30,3
31,6
32,2
34,2
35,2
36,6
37,2
38,5
39,1
40,1
42,4
43,3
46,1
47,1
48,2
49,1
52,1
53,1
55,1
56,1
57,1
66,1
82,1
83,1
87,1
89,1
96,3
150,3
170,1
204,2
244,1
271,1
292,1
301,1
307,1
356,1
362,1
384,1
390,1
414,2
415,1
419,1
420,2
436,1
437,1
446,2
455,1
456,1
463,1
476,1
480,1
481,1
482,1
484,1
485,1
488,2
489,2
492,2
