track,mode,official_matched,recomputed_matched,official_f1,recomputed_f1,official_n_pred,recomputed_n_pred,official_n_gt,recomputed_n_gt,official_offset_matched,recomputed_offset_matched,official_inst_matched,recomputed_inst_matched
Track01876,continuous,29,61,0.008840115836000608,0.018594726413656455,2459,2459,4102,4102,29,61,29,61
Track01876,reset,239,305,0.029755976095617528,0.037973107569721117,11962,11962,4102,4102,239,303,239,305
Track01880,continuous,236,238,0.0446040446040446,0.04498204498204498,2421,2421,8161,8161,158,191,236,238
Track01880,reset,68,667,0.006177606177606178,0.060595048830342946,13854,13854,8161,8161,55,484,68,667
Track01887,continuous,1040,1144,0.037849838046366054,0.04163482185100266,43993,43993,10961,10961,967,1063,1040,1144
Track01887,reset,624,750,0.02235357334766255,0.026867275658248254,44869,44869,10961,10961,546,661,624,750
Track01888,continuous,278,353,0.02859641001902998,0.036311268837113615,13218,13218,6225,6225,15,19,278,353
Track01888,reset,59,98,0.0033120017963399573,0.005501291119344336,29403,29403,6225,6225,9,15,59,98
Track01889,continuous,47,72,0.007447904286506615,0.011409555502733539,8532,8532,4089,4089,47,72,47,72
Track01889,reset,80,87,0.0058763038049067145,0.006390480387836051,23139,23139,4089,4089,9,12,80,87
Track01895,continuous,248,418,0.06087383406971036,0.10260186548846342,3378,3378,4770,4770,233,366,248,418
Track01895,reset,365,416,0.046532381438041816,0.053034166241713414,10918,10918,4770,4770,351,384,365,416
Track01897,continuous,13,122,0.003812316715542522,0.03577712609970674,3421,3421,3399,3399,9,91,13,122
Track01897,reset,223,251,0.021572990229273482,0.02428170649124504,17275,17275,3399,3399,146,165,223,251
Track01901,continuous,5,14,0.0012586532410320957,0.003524229074889868,2164,2164,5781,5781,0,3,5,14
Track01901,reset,111,138,0.009371042634022794,0.011650485436893204,17909,17909,5781,5781,11,11,111,138
Track01902,continuous,5,29,0.0012645422357106728,0.007334344967121902,2405,2405,5503,5503,0,0,5,29
Track01902,reset,285,356,0.02150456500415,0.026861842601675092,21003,21003,5503,5503,78,103,285,356
Track01903,continuous,327,474,0.041802492809204214,0.06059443911792905,9464,9464,6181,6181,314,452,327,474
Track01903,reset,617,721,0.048414940364092905,0.05657564344005022,19307,19307,6181,6181,381,450,617,721
Track01906,continuous,114,121,0.029537504858142244,0.0313512112968001,2599,2599,5120,5120,114,121,114,121
Track01906,reset,503,564,0.039272329793878825,0.04403497813866333,20496,20496,5120,5120,301,348,503,564
Track01907,continuous,14,30,0.003280609256004686,0.007029876977152899,2389,2389,6146,6146,0,1,14,30
Track01907,reset,510,569,0.035871285387726395,0.04002110075611043,22289,22289,6146,6146,87,104,510,569
Track01913,continuous,346,422,0.05960892411060384,0.07270221379963822,3557,3557,8052,8052,108,138,346,422
Track01913,reset,576,700,0.04548864758144126,0.055281342546890426,17273,17273,8052,8052,152,189,576,700
Track01917,continuous,108,137,0.028757821861270138,0.03647982958327786,2507,2507,5004,5004,107,114,108,137
Track01917,reset,424,510,0.02947822157333055,0.035457294816977784,23763,23763,5004,5004,414,496,424,510
Track01930,continuous,59,145,0.017982322462663822,0.04419384334044499,2163,2163,4399,4399,54,96,59,145
