split,feature,n,mean,std,p25,median,p75,min,max
train,n_notes,120,5901.4,2579.7497,4243.5,5492.5,7021.75,869.0,18040.0
train,density_notes_per_s,120,26.1317,9.6894,19.1453,24.6535,31.6095,9.743,67.696
train,polyphony_mean,120,5.1292,1.8928,3.6102,4.7665,6.5457,1.951,10.239
train,drum_share,120,0.298,0.1016,0.2248,0.2925,0.3623,0.0815,0.5494
train,median_dur_s,120,0.1937,0.1246,0.1,0.17,0.26,0.01,0.7
train,n_groups,120,8.7917,2.0571,7.0,9.0,10.0,4.0,14.0
train,tokens_total,120,32673.3583,13564.9324,23564.25,29865.0,39035.25,5183.0,100473.0
train,tokens_per_note,120,5.5956,0.5022,5.2945,5.644,5.956,4.294,6.736
train,duration_s,120,231.6158,57.9291,197.7675,223.61,263.6675,40.59,454.01
valid,n_notes,20,6198.55,2159.7243,5096.25,6261.5,7193.5,1288.0,10961.0
valid,density_notes_per_s,20,24.6207,7.1017,21.38,25.4305,29.063,10.335,38.176
valid,polyphony_mean,20,4.6195,1.7437,3.1087,4.3065,4.9705,2.668,8.986
valid,drum_share,20,0.3317,0.1306,0.2218,0.2905,0.4367,0.1738,0.6871
valid,median_dur_s,20,0.173,0.1037,0.1025,0.165,0.23,0.02,0.49
valid,n_groups,20,8.15,1.9564,6.75,8.0,9.25,5.0,13.0
valid,tokens_total,20,33505.5,11641.5707,28954.0,34117.0,39090.75,7982.0,59462.0
valid,tokens_per_note,20,5.4546,0.6421,5.1057,5.6275,5.9225,3.719,6.307
valid,duration_s,20,254.061,64.3658,212.175,240.0,287.7575,124.62,411.22
test,n_notes,60,5904.0333,2170.9522,4400.5,5540.5,6790.75,929.0,12137.0
test,density_notes_per_s,60,23.3266,7.9693,17.7773,22.048,26.643,10.623,49.552
test,polyphony_mean,60,5.3002,2.1806,3.5888,4.789,6.5522,2.14,11.015
test,drum_share,60,0.3143,0.1122,0.2327,0.3075,0.382,0.1075,0.6282
test,median_dur_s,60,0.1981,0.1126,0.11,0.19,0.2525,0.01,0.46
test,n_groups,60,8.85,2.2047,7.0,8.0,11.0,5.0,14.0
test,tokens_total,60,32553.7,11621.4675,24301.25,30945.0,37103.5,5111.0,66769.0
test,tokens_per_note,60,5.5612,0.5748,5.282,5.4995,5.9463,3.877,6.736
test,duration_s,60,260.304,64.6216,223.755,256.81,291.6075,73.4,424.13
