mode,stratum_type,stratum,n_gt,matched,recall,n_pred,precision,f1
continuous,chunk_pos,boundary,35878,1438,0.0400803,,,
continuous,chunk_pos,interior,318364,11434,0.0359149,,,
continuous,drums,drum,113273,11074,0.0977638,,,
continuous,drums,pitched,240969,1798,0.00746154,,,
continuous,gt_density_per_s,0-2,311,4,0.0128617,,,
continuous,gt_density_per_s,10-20,98114,3807,0.0388018,,,
continuous,gt_density_per_s,2-5,2988,29,0.00970549,,,
continuous,gt_density_per_s,5-10,15677,385,0.0245583,,,
continuous,gt_density_per_s,>=20,237152,8647,0.0364618,,,
continuous,gt_duration,0.0-0.1,124975,9016,0.0721424,,,
continuous,gt_duration,0.1-0.25,103866,2166,0.0208538,,,
continuous,gt_duration,0.25-0.5,60903,1104,0.0181272,,,
continuous,gt_duration,0.5-1.0,31506,446,0.014156,,,
continuous,gt_duration,>=1.0s,32992,140,0.00424345,,,
continuous,gt_polyphony,1-1,53700,1891,0.0352142,,,
continuous,gt_polyphony,2-3,84679,3217,0.0379905,,,
continuous,gt_polyphony,4-6,100698,3874,0.0384715,,,
continuous,gt_polyphony,>=7,115165,3890,0.0337776,,,
continuous,pred_drums,drum,,,,127775,0.086668,
continuous,pred_drums,pitched,,,,201365,0.00892906,
continuous,pred_program_group,acoustic_bass,,,,6876,0.0034904,
continuous,pred_program_group,acoustic_guitar,,,,46300,0.00049676,
continuous,pred_program_group,acoustic_piano,,,,80727,0.011991,
continuous,pred_program_group,clean_electric_guitar,,,,15178,0.0245092,
continuous,pred_program_group,distorted_electric_guitar,,,,9,0,
continuous,pred_program_group,drums,,,,127775,0.086668,
continuous,pred_program_group,electric_bass,,,,35912,0.00955112,
continuous,pred_program_group,electric_piano,,,,9991,0.00540486,
continuous,pred_program_group,french_horn,,,,2,0,
continuous,pred_program_group,organ,,,,385,0,
continuous,pred_program_group,string_ensemble,,,,3400,0.00411765,
continuous,pred_program_group,synth_strings,,,,2585,0,
continuous,program_group,acoustic_bass,8447,24,0.00284125,,,
continuous,program_group,acoustic_guitar,44307,23,0.000519105,,,
continuous,program_group,acoustic_piano,42326,968,0.0228701,,,
continuous,program_group,baritone_sax,270,0,0,,,
continuous,program_group,brass_section,1803,0,0,,,
continuous,program_group,cello,1,0,0,,,
continuous,program_group,chromatic_percussion,2680,0,0,,,
continuous,program_group,clarinet,540,0,0,,,
continuous,program_group,clean_electric_guitar,36646,372,0.0101512,,,
continuous,program_group,distorted_electric_guitar,8669,0,0,,,
continuous,program_group,drums,113273,11074,0.0977638,,,
continuous,program_group,electric_bass,20698,343,0.0165716,,,
continuous,program_group,electric_piano,26013,54,0.00207589,,,
continuous,program_group,english_horn,6,0,0,,,
continuous,program_group,flutes,3914,0,0,,,
continuous,program_group,french_horn,218,0,0,,,
continuous,program_group,orchestral_harp,7,0,0,,,
continuous,program_group,organ,6329,0,0,,,
continuous,program_group,prog100,105,0,0,,,
continuous,program_group,prog101,30,0,0,,,
continuous,program_group,singleton_102,30,0,0,,,
continuous,program_group,singleton_103,117,0,0,,,
continuous,program_group,singleton_104,138,0,0,,,
continuous,program_group,singleton_105,40,0,0,,,
continuous,program_group,singleton_106,903,0,0,,,
continuous,program_group,singleton_108,1106,0,0,,,
continuous,program_group,singleton_110,84,0,0,,,
continuous,program_group,singleton_114,762,0,0,,,
continuous,program_group,singleton_115,768,0,0,,,
continuous,program_group,singleton_116,28,0,0,,,
continuous,program_group,singleton_118,62,0,0,,,
continuous,program_group,singleton_119,5,0,0,,,
continuous,program_group,singleton_122,20,0,0,,,
continuous,program_group,singleton_123,19,0,0,,,
continuous,program_group,singleton_126,29,0,0,,,
continuous,program_group,singleton_127,1,0,0,,,
continuous,program_group,singleton_98,302,0,0,,,
continuous,program_group,singleton_99,793,0,0,,,
continuous,program_group,soprano_and_alto_sax,1299,0,0,,,
continuous,program_group,string_ensemble,12520,14,0.00111821,,,
continuous,program_group,synth_lead,2876,0,0,,,
continuous,program_group,synth_pad,5261,0,0,,,
