mode,category,value
continuous,n_gt,354242
continuous,n_pred,329140
continuous,tp_onset,12872
continuous,tp_offset_ok,9448
continuous,tp_offset_short,3256
continuous,tp_offset_long,168
continuous,miss_timing_near,30843
continuous,miss_same_pitch_far,18786
continuous,miss_octave,2086
continuous,miss_program_swap,1602
continuous,miss_no_candidate,288053
continuous,fp_timing,150168
continuous,fp_octave,953
continuous,fp_program_swap,1252
continuous,fp_spurious_near,157487
continuous,fp_spurious_far,6408
continuous,gt_drum,113273
continuous,pred_drum,127775
continuous,tp_drum,11074
continuous,miss_drum,102199
continuous,fp_drum,116701
continuous,tp_pitched,1798
continuous,tp_pitched_offset_ok,419
continuous,tp_pitched_offset_short,1211
continuous,tp_pitched_offset_long,168
continuous,mean_offset_delta_ticks_pitched,-27.8971
continuous,mean_duration_ratio_pitched,0.74589
continuous,precision,0.039108
continuous,recall,0.0363367
continuous,f1,0.0376715
continuous,mean_onset_delta_ticks,2.43785
continuous,mean_offset_delta_ticks,-8.6546
continuous,mean_duration_ratio,0.587711
reset,n_gt,354242
reset,n_pred,1162640
reset,tp_onset,23445
reset,tp_offset_ok,16214
reset,tp_offset_short,6983
reset,tp_offset_long,248
reset,miss_timing_near,29373
reset,miss_same_pitch_far,132359
reset,miss_octave,2899
reset,miss_program_swap,1170
reset,miss_no_candidate,164996
reset,fp_timing,560238
reset,fp_octave,3064
reset,fp_program_swap,2942
reset,fp_spurious_near,566137
reset,fp_spurious_far,6814
reset,gt_drum,113273
reset,pred_drum,272714
reset,tp_drum,17681
reset,miss_drum,95592
reset,fp_drum,255033
reset,tp_pitched,5764
reset,tp_pitched_offset_ok,1874
reset,tp_pitched_offset_short,3642
reset,tp_pitched_offset_long,248
reset,mean_offset_delta_ticks_pitched,-29.3449
reset,mean_duration_ratio_pitched,1.39724
reset,precision,0.0201653
reset,recall,0.0661836
reset,f1,0.0309121
reset,mean_onset_delta_ticks,2.27541
reset,mean_offset_delta_ticks,-11.3518
reset,mean_duration_ratio,0.706768
