track,selection_rule,mode,audit_kind,duration_s,r1_f1,r2_f1,d_f1,n_gt,n_pred,pred_gt_ratio,f1,precision,recall,inst_switches,truncated,gt_groups_top,pred_groups_top,gt_groups_missing_in_pred,pred_groups_extra_vs_gt,gt_drum_share,pred_drum_share,chunk_coverage_share,longest_no_pred_gap_s,density_ratio,pitch_hist_overlap,longest_repeat_run,share_notes_in_repeat_runs,miss_no_candidate,miss_timing_near,fp_timing_near,mean_pitch_gt,mean_pitch_pred
Track01895,improved_top3,continuous,scripted structural audit of note arrays (no human listening in this offline round),125.41,0.0006493506493506494,0.06087383406971036,0.06022448342035971,4770,3378,0.708,0.06087383406971036,0.07341622261693309,0.0519916142557652,2,0,acoustic_guitar:1376;drums:1010;acoustic_piano:990;electric_bass:427;electric_piano:341;brass_section:251,acoustic_piano:1706;drums:1141;electric_bass:531,acoustic_guitar;electric_piano;brass_section,(none),0.212,0.338,0.923,5.0,0.708,0.308,163,0.731,3705,571,2960,54.4,48.7
Track01895,improved_top3,reset,scripted structural audit of note arrays (no human listening in this offline round),125.41,0.0006493506493506494,0.046532381438041816,0.045883030788691166,4770,10918,2.289,0.046532381438041816,0.033431031324418395,0.07651991614255765,20,3,acoustic_guitar:1376;drums:1010;acoustic_piano:990;electric_bass:427;electric_piano:341;brass_section:251,drums:3016;clean_electric_guitar:2033;string_ensemble:1509;electric_piano:1479;acoustic_piano:1365;acoustic_guitar:946,brass_section,clean_electric_guitar;string_ensemble,0.212,0.276,0.885,10.0,2.289,0.477,308,0.918,2098,396,4590,54.4,60.2
Track02047,improved_top3,continuous,scripted structural audit of note arrays (no human listening in this offline round),367.33,0.0029936305732484077,0.06295156122384872,0.059957930650600316,12137,3780,0.311,0.06295156122384872,0.13253968253968254,0.04127873444838098,1,0,clean_electric_guitar:3600;drums:3563;acoustic_piano:2149;electric_bass:1135;electric_piano:628;brass_section:376,drums:1590;acoustic_piano:1463;electric_bass:727,clean_electric_guitar;electric_piano;brass_section,(none),0.294,0.421,0.986,5.0,0.311,0.293,3,0.0,8679,2670,1981,52.6,44.7
Track02047,improved_top3,reset,scripted structural audit of note arrays (no human listening in this offline round),367.33,0.0029936305732484077,0.027609856894770392,0.024616226321521984,12137,33354,2.748,0.027609856894770392,0.01882832643760868,0.05174260525665321,59,11,clean_electric_guitar:3600;drums:3563;acoustic_piano:2149;electric_bass:1135;electric_piano:628;brass_section:376,acoustic_guitar:11137;drums:6404;string_ensemble:6236;electric_piano:3912;clean_electric_guitar:2992;acoustic_piano:1783,brass_section,acoustic_guitar;string_ensemble,0.294,0.192,0.973,10.0,2.748,0.352,432,0.933,4808,1985,12673,52.6,59.8
Track02019,improved_top3,continuous,scripted structural audit of note arrays (no human listening in this offline round),295.51,0.0003246577566149018,0.05553639185926181,0.05521173410264691,3502,2296,0.656,0.05553639185926181,0.0701219512195122,0.04597372929754426,4,0,drums:1389;acoustic_piano:610;synth_pad:456;electric_bass:432;acoustic_guitar:432;prog100:68,drums:1252;acoustic_piano:1043;electric_bass:1,synth_pad;electric_bass;acoustic_guitar;prog100,(none),0.397,0.545,0.867,20.0,0.656,0.24,15,0.026,2483,508,243,52.1,49.7
Track02019,improved_top3,reset,scripted structural audit of note arrays (no human listening in this offline round),295.51,0.0003246577566149018,0.04012144870960745,0.03979679095299255,3502,14942,4.267,0.04012144870960745,0.024762414670057555,0.105653912050257,45,3,drums:1389;acoustic_piano:610;synth_pad:456;electric_bass:432;acoustic_guitar:432;prog100:68,electric_piano:4178;drums:3523;acoustic_guitar:2960;clean_electric_guitar:1525;acoustic_piano:1254;voice:798,synth_pad;prog100,electric_piano;clean_electric_guitar;voice,0.397,0.236,0.867,30.0,4.267,0.392,260,0.897,1162,478,4749,52.1,60.5
Track01906,degraded_top3,continuous,scripted structural audit of note arrays (no human listening in this offline round),261.0,0.06088928595972785,0.029537504858142244,-0.0313517811015856,5120,2599,0.508,0.029537504858142244,0.04386302424009234,0.022265625,0,0,acoustic_guitar:1601;drums:1415;clean_electric_guitar:492;synth_pad:456;string_ensemble:451;acoustic_bass:402,acoustic_piano:1043;drums:1040;electric_bass:516,acoustic_guitar;clean_electric_guitar;synth_pad;string_ensemble;acoustic_bass,electric_bass,0.276,0.4,0.981,5.0,0.508,0.174,1,0.0,4238,479,401,57.6,45.3
Track01906,degraded_top3,reset,scripted structural audit of note arrays (no human listening in this offline round),261.0,0.06088928595972785,0.039272329793878825,-0.02161695616584902,5120,20496,4.003,0.039272329793878825,0.024541373926619828,0.0982421875,37,2,acoustic_guitar:1601;drums:1415;clean_electric_guitar:492;synth_pad:456;string_ensemble:451;acoustic_bass:402,acoustic_guitar:9666;drums:4698;acoustic_piano:1863;string_ensemble:1107;clean_electric_guitar:1105;electric_bass:883,synth_pad,electric_bass,0.276,0.229,0.962,10.0,4.003,0.455,641,0.9,2058,500,14822,57.6,56.5
Track01876,degraded_top3,continuous,scripted structural audit of note arrays (no human listening in this offline round),258.98,0.035204155244553455,0.008840115836000608,-0.026364039408552847,4102,2459,0.599,0.008840115836000608,0.011793411956079707,0.007069722086786933,1,0,drums:1241;clean_electric_guitar:766;electric_piano:553;voice:401;distorted_electric_guitar:360;electric_bass:307,drums:991;acoustic_piano:989;electric_bass:479,clean_electric_guitar;electric_piano;voice;distorted_electric_guitar,(none),0.303,0.403,0.923,15.0,0.599,0.182,39,0.029,3559,434,484,57.2,44.9
Track01876,degraded_top3,reset,scripted structural audit of note arrays (no human listening in this offline round),258.98,0.035204155244553455,0.029755976095617528,-0.005448179148935927,4102,11962,2.916,0.029755976095617528,0.019979936465474,0.05826426133593369,36,1,drums:1241;clean_electric_guitar:766;electric_piano:553;voice:401;distorted_electric_guitar:360;electric_bass:307,drums:3347;clean_electric_guitar:2538;electric_piano:1892;acoustic_piano:1433;acoustic_guitar:1362;string_ensemble:590,distorted_electric_guitar,acoustic_piano;acoustic_guitar;string_ensemble,0.303,0.28,0.904,15.0,2.916,0.35,409,0.897,2453,305,2790,57.2,58.0
