step,loss,acc,eos_acc,gnorm,lr,n_tok
1,7.368712425231934,0.0015122873010113835,0.0,462.0,5.999999999999999e-06,2645
2,7.104869842529297,0.014018691144883633,0.0,684.0,8.969999999999999e-06,1070
3,6.7490973472595215,0.11003236472606659,0.0,432.0,1.194e-05,1545
4,6.5851874351501465,0.11753182858228683,0.0,442.0,1.4909999999999996e-05,1021
5,6.099262714385986,0.11562350392341614,0.0,490.0,1.7879999999999998e-05,2093
6,5.9676713943481445,0.14486755430698395,0.0,404.0,2.085e-05,1208
7,5.971730709075928,0.11172261834144592,0.0,224.0,2.382e-05,1817
8,5.657124996185303,0.1300486922264099,0.0,231.0,2.679e-05,3491
9,5.369383811950684,0.1426507830619812,0.0,185.0,2.9759999999999996e-05,2769
10,5.366942882537842,0.1489432007074356,0.0,203.0,3.273e-05,3028
11,5.527943134307861,0.11814744770526886,0.0,145.0,3.57e-05,2116
12,5.616662502288818,0.12269257754087448,0.0,102.0,3.867e-05,7205
13,5.114286422729492,0.1383325606584549,0.0,129.0,4.163999999999999e-05,4294
14,5.501011371612549,0.13735224306583405,0.0,190.0,4.460999999999999e-05,4230
15,5.033977508544922,0.1919642835855484,0.0,122.0,4.7579999999999995e-05,3136
16,5.5154805183410645,0.11567731946706772,0.5,93.0,5.054999999999999e-05,1971
17,5.205839157104492,0.13604651391506195,0.25,106.5,5.351999999999999e-05,860
18,4.942311763763428,0.16812439262866974,0.0,82.0,5.648999999999998e-05,1029
19,4.942715167999268,0.1672447919845581,0.5,80.0,5.945999999999999e-05,4036
20,5.161683559417725,0.1641443520784378,0.0,62.25,6.242999999999998e-05,3436
21,4.768982887268066,0.21765953302383423,0.5,95.0,6.539999999999999e-05,5187
22,4.933578014373779,0.1744130402803421,0.0,49.75,6.837e-05,2087
23,5.814869403839111,0.1008230447769165,0.0,72.0,7.133999999999999e-05,1944
24,5.329821586608887,0.1145891547203064,0.25,62.25,7.430999999999998e-05,1789
25,5.085635662078857,0.1458541452884674,0.0,59.25,7.727999999999999e-05,3003
26,5.160589218139648,0.1665174514055252,0.0,40.75,8.025e-05,1117
27,4.832213878631592,0.1556157022714615,0.0,44.75,8.321999999999999e-05,5173
28,5.100573539733887,0.12485811859369278,0.5,37.75,8.618999999999999e-05,1762
29,4.958907604217529,0.13567467033863068,0.0,44.0,8.916e-05,2705
30,4.925475120544434,0.12582458555698395,0.0,33.5,9.213e-05,4093
31,5.09401798248291,0.12123817950487137,0.0,28.375,9.51e-05,2326
32,4.657411098480225,0.18473580479621887,0.0,29.5,9.807e-05,2555
33,4.799304962158203,0.14438502490520477,1.0,30.125,0.00010103999999999998,3366
34,5.19143533706665,0.11246763169765472,0.0,27.875,0.00010400999999999999,2703
35,4.743988513946533,0.1524324268102646,0.0,60.25,0.00010697999999999998,2775
36,4.9590301513671875,0.12817363440990448,0.0,34.75,0.00010994999999999999,4884
37,4.930532455444336,0.13609714806079865,0.0,29.5,0.00011292,4776
38,4.586042881011963,0.1922440230846405,0.0,32.75,0.00011589,4229
39,4.332687854766846,0.1629570722579956,0.0,23.875,0.00011885999999999998,2516
40,4.986087799072266,0.1488439291715622,0.0,20.625,0.00012182999999999999,1384
41,4.429753303527832,0.20623548328876495,0.0,20.75,0.0001248,5164
42,4.637066841125488,0.21235890686511993,0.0,28.5,0.00012776999999999998,5227
43,4.537288188934326,0.19563686847686768,0.0,20.125,0.00013073999999999998,2842
44,4.999155521392822,0.13358962535858154,0.0,23.0,0.00013371,4162
45,4.614659309387207,0.1458791196346283,0.0,20.375,0.00013668,3640
46,4.744112014770508,0.13446885347366333,0.0,17.5,0.00013964999999999998,2231
47,4.754547595977783,0.14148034155368805,0.0,18.75,0.00014261999999999999,2594
48,4.457154750823975,0.15899185836315155,0.0,16.75,0.00014559,5277
49,3.9623775482177734,0.20049403607845306,0.0,24.75,0.00014855999999999997,2429
50,4.6558003425598145,0.1345890462398529,0.0,14.375,0.00015152999999999998,2920
51,4.403817653656006,0.1443037986755371,0.0,15.375,0.0001545,1580
52,4.202061653137207,0.16089965403079987,0.0,13.0625,0.00015747,3468
53,4.379841327667236,0.1642613559961319,0.0,11.8125,0.00016043999999999997,3811
54,4.009543418884277,0.17430166900157928,0.0,23.25,0.00016340999999999998,895
55,4.3417768478393555,0.18008004128932953,0.25,15.3125,0.00016638,2249
56,4.3309760093688965,0.15282918512821198,0.0,16.375,0.00016935,1891
57,4.242002964019775,0.16868102550506592,0.0,11.9375,0.00017232,3806
58,4.41009521484375,0.16169781982898712,0.0,8.875,0.00017528999999999998,3958
59,4.047244071960449,0.17014122009277344,0.0,13.1875,0.00017826,1487
60,4.320756435394287,0.16694270074367523,0.0,22.75,0.00018122999999999997,3019
61,4.314098834991455,0.18023255467414856,0.25,9.75,0.00018419999999999998,1892
62,4.333848476409912,0.14659300446510315,0.25,11.9375,0.00018716999999999999,2715
63,4.336902141571045,0.12705592811107635,0.25,7.75,0.00019014,2432
64,4.002763271331787,0.22184006869792938,0.25,11.9375,0.00019310999999999997,1163
65,4.3063507080078125,0.17474490404129028,0.75,9.0625,0.00019607999999999998,3920
66,3.920931100845337,0.232876718044281,0.0,14.625,0.00019905,584
67,4.270608901977539,0.1820744127035141,0.0,7.75,0.00020202,1774
68,4.0798659324646,0.16795580089092255,0.0,11.0,0.00020499,3620
69,4.034835338592529,0.18243451416492462,0.0,8.5625,0.00020795999999999995,3245
70,3.9867115020751953,0.184548020362854,0.0,11.25,0.00021093,3197
71,3.952207565307617,0.1373467892408371,0.0,6.96875,0.00021389999999999997,2774
72,4.077786922454834,0.1678321659564972,0.0,11.25,0.00021687,3432
73,4.035408020019531,0.24787017703056335,0.0,9.75,0.00021983999999999998,2465
