step,loss,acc,eos_acc,gnorm,lr,n_tok,noise_p
1,7.346249103546143,0.00040053404518403113,0.0,506.0,5.999999999999999e-06,7490,0.0
2,7.079652309417725,0.027414219453930855,0.0,508.0,8.969999999999999e-06,11308,0.0003
3,6.649250030517578,0.1159069836139679,0.0,496.0,1.194e-05,19438,0.0006
4,6.33913516998291,0.12107433378696442,0.0,392.0,1.4909999999999996e-05,9457,0.0009
5,6.1260786056518555,0.1095530241727829,0.0,290.0,1.7879999999999998e-05,14833,0.0012
6,5.75131368637085,0.12808381021022797,0.0,370.0,2.085e-05,14795,0.0015
7,5.4524827003479,0.14522160589694977,0.0,217.0,2.382e-05,16313,0.0018
8,5.312625408172607,0.16184628009796143,0.0,218.0,2.679e-05,18567,0.0021
9,5.6879096031188965,0.1245013102889061,0.0,170.0,2.9759999999999996e-05,14538,0.0024
10,5.262880325317383,0.1508820801973343,0.0,135.0,3.273e-05,21540,0.0026999999999999997
11,5.477303981781006,0.11922094970941544,0.0,89.0,3.57e-05,10577,0.003
12,5.214468955993652,0.14471428096294403,0.0,161.0,3.867e-05,14000,0.0032999999999999995
13,4.946001052856445,0.15712250769138336,0.0,145.0,4.163999999999999e-05,14040,0.0036
14,5.398622512817383,0.13316559791564941,0.0,206.0,4.460999999999999e-05,11129,0.0039
15,5.10304594039917,0.13644501566886902,0.0,74.0,4.7579999999999995e-05,24017,0.0042
16,5.012486934661865,0.13677532970905304,0.0,64.5,5.054999999999999e-05,23959,0.0045
17,5.243220329284668,0.13777640461921692,0.0,49.75,5.351999999999999e-05,12934,0.0048
18,5.468941688537598,0.12584269046783447,0.0,56.75,5.648999999999998e-05,10235,0.0051
19,5.355101585388184,0.13687631487846375,0.0,67.0,5.945999999999999e-05,5231,0.005399999999999999
20,4.981880187988281,0.20008233189582825,0.0,72.5,6.242999999999998e-05,4858,0.005699999999999999
21,5.439517021179199,0.1354605108499527,0.0,84.5,6.539999999999999e-05,10217,0.006
22,5.044399261474609,0.1572464555501938,0.0,43.25,6.837e-05,8687,0.0063
23,4.980893611907959,0.1626400649547577,0.0,57.0,7.133999999999999e-05,15439,0.006599999999999999
24,5.0200958251953125,0.1579047590494156,0.0,45.5,7.430999999999998e-05,10500,0.0069
25,4.980517387390137,0.14747360348701477,0.0,39.25,7.727999999999999e-05,12409,0.0072
26,4.896448135375977,0.14289967715740204,0.0,35.0,8.025e-05,10077,0.0075
27,4.989198207855225,0.1416354924440384,0.4375,47.5,8.321999999999999e-05,9355,0.0078
28,5.386525630950928,0.11812123656272888,0.1875,44.5,8.618999999999999e-05,9304,0.0081
29,5.223745822906494,0.11366681754589081,0.25,30.5,8.916e-05,8956,0.0084
30,5.081228256225586,0.12780247628688812,0.8125,33.75,9.213e-05,10571,0.0087
31,4.970796585083008,0.14947815239429474,0.3125,37.0,9.51e-05,11306,0.009
32,4.7000555992126465,0.1413308084011078,0.0625,33.5,9.807e-05,14788,0.0093
33,4.917819976806641,0.15719304978847504,0.125,27.375,0.00010103999999999998,9676,0.0096
34,4.954824924468994,0.18813395500183105,0.0,25.5,0.00010400999999999999,12422,0.0099
35,5.220468521118164,0.17634539306163788,0.1875,34.25,0.00010697999999999998,9867,0.0102
36,4.77911376953125,0.17766346037387848,0.25,27.5,0.00010994999999999999,13413,0.0105
37,4.909724235534668,0.1472146213054657,0.0,26.25,0.00011292,11704,0.010799999999999999
38,5.0084686279296875,0.13005217909812927,0.3125,27.875,0.00011589,9773,0.011099999999999999
39,4.88051176071167,0.13336651027202606,0.0,29.125,0.00011885999999999998,12057,0.011399999999999999
40,4.643834590911865,0.2044532597064972,0.0,17.375,0.00012182999999999999,11587,0.0117
41,4.530733585357666,0.14231383800506592,0.0625,22.5,0.0001248,13147,0.012
42,4.817944526672363,0.13591738045215607,0.4375,22.75,0.00012776999999999998,15686,0.0123
43,4.742887496948242,0.13521772623062134,0.3125,12.875,0.00013073999999999998,5236,0.0126
44,4.704291343688965,0.13048075139522552,0.125,12.1875,0.00013371,16079,0.012899999999999998
45,4.5836663246154785,0.15396445989608765,0.0,16.125,0.00013668,11704,0.013199999999999998
46,4.765690803527832,0.11861495673656464,0.0625,11.0625,0.00013964999999999998,11061,0.0135
47,4.540372848510742,0.13568055629730225,0.375,18.0,0.00014261999999999999,11645,0.0138
48,4.509191036224365,0.12566065788269043,0.8125,17.125,0.00014559,9271,0.0141
49,4.568366527557373,0.138999342918396,0.3125,12.875,0.00014855999999999997,6036,0.0144
50,4.736996650695801,0.15024437010288239,0.125,16.875,0.00015152999999999998,6343,0.0147
51,4.348524570465088,0.17455345392227173,0.125,9.6875,0.0001545,11813,0.015
52,4.717038154602051,0.14319123327732086,0.25,11.0,0.00015747,9407,0.015299999999999998
53,4.164915561676025,0.19956548511981964,0.0,13.5625,0.00016043999999999997,12888,0.0156
54,4.43837833404541,0.14326274394989014,0.125,18.125,0.00016340999999999998,8453,0.015899999999999997
55,4.091752052307129,0.1791938990354538,0.0,14.75,0.00016638,5508,0.0162
56,4.5072245597839355,0.15735310316085815,0.0625,8.625,0.00016935,9037,0.0165
57,4.302483558654785,0.15815316140651703,0.0,8.9375,0.00017232,12627,0.0168
58,4.107032775878906,0.17854352295398712,0.0,9.75,0.00017528999999999998,11521,0.0171
59,4.277149677276611,0.15790870785713196,0.1875,11.1875,0.00017826,7536,0.0174
60,4.22693395614624,0.1572532057762146,0.25,17.0,0.00018122999999999997,19936,0.017699999999999997
61,4.291345119476318,0.14308901131153107,0.25,11.25,0.00018419999999999998,11706,0.018
62,4.023778915405273,0.15045084059238434,0.3125,8.1875,0.00018716999999999999,11645,0.0183
63,4.609583854675293,0.131429985165596,0.6875,8.875,0.00019014,12189,0.0186
64,4.066893577575684,0.1975940614938736,0.1875,6.3125,0.00019310999999999997,7814,0.0189
65,4.30830192565918,0.1351199746131897,0.0625,13.9375,0.00019607999999999998,17836,0.0192
66,4.244107723236084,0.15596716105937958,0.1875,8.125,0.00019905,14253,0.0195
67,4.121097087860107,0.16721788048744202,0.0,7.0625,0.00020202,15118,0.0198
68,4.266929626464844,0.14196129143238068,0.0625,8.125,0.00020499,9249,0.0201
69,3.9635684490203857,0.19297511875629425,0.625,8.875,0.00020795999999999995,14349,0.0204
70,4.041492938995361,0.18204262852668762,0.0,9.3125,0.00021093,12151,0.0207
71,4.039592742919922,0.1704433560371399,0.0,15.75,0.00021389999999999997,10150,0.021
72,4.2230000495910645,0.15947049856185913,0.0,5.21875,0.00021687,16166,0.021299999999999996
73,4.01825475692749,0.1800553947687149,0.0,6.40625,0.00021983999999999998,9747,0.021599999999999998
74,4.165948390960693,0.15373623371124268,0.0625,5.4375,0.00022281,16795,0.0219
75,4.02459192276001,0.16873089969158173,0.0,5.84375,0.00022578,6217,0.022199999999999998
76,4.395431041717529,0.1610623002052307,0.0,18.0,0.00022875,9903,0.0225
77,4.051413536071777,0.16224564611911774,0.25,3.828125,0.00023171999999999998,16512,0.022799999999999997
78,3.907649517059326,0.15283043682575226,0.4375,6.71875,0.00023469000000000002,7649,0.0231
79,3.972938299179077,0.1829172670841217,0.5625,6.6875,0.00023765999999999997,15302,0.0234
80,4.184460163116455,0.14039337635040283,0.625,4.65625,0.00024062999999999995,10321,0.0237
81,4.158775806427002,0.1871289312839508,0.75,8.75,0.00024359999999999999,13643,0.024
82,3.831599473953247,0.2297423928976059,0.8125,6.0,0.00024657,8540,0.0243
83,4.307677745819092,0.14137554168701172,0.9375,6.3125,0.00024953999999999997,7328,0.0246
84,3.7793128490448,0.1719798594713211,0.9375,6.0,0.00025250999999999995,5960,0.024900000000000002
85,4.098969459533691,0.14027149975299835,0.875,6.25,0.00025548,12155,0.0252
86,3.6477625370025635,0.19703423976898193,0.8125,5.4375,0.00025844999999999997,6339,0.025500000000000002
87,4.016721725463867,0.15204186737537384,0.9375,5.59375,0.00026142,10701,0.025799999999999997
88,3.7999958992004395,0.1897222399711609,1.0,4.0,0.00026439,11053,0.026099999999999998
89,3.7153375148773193,0.2242182344198227,0.5625,5.5625,0.00026736,6012,0.026399999999999996
90,3.866410732269287,0.18406428396701813,1.0,6.03125,0.00027033,11697,0.026699999999999998
91,3.8603789806365967,0.24741999804973602,0.9375,7.15625,0.0002733,11531,0.027
92,3.9847826957702637,0.20145508646965027,0.8125,7.6875,0.00027627,11958,0.027299999999999998
93,4.095954895019531,0.16124534606933594,0.5625,7.40625,0.00027924,19368,0.0276
